"municipio_id_sus","periodo_data","estabelecimento_nome","equipe_nome","cadastro_quantidade","cadastro_criterio_pontuacao"
"355030","01/2022",UBS DR ANTONIO PIRES FERREIRA VILLALOBO,"4074 - EQUIPE 4",3743,false
"355030","01/2022",UBS SANTO ELIAS,SANTO ELIAS - VERDE,2975,false
"355030","01/2022",UBS JD SAO CARLOS CIDADE ADEMAR,SAO CARLOS 3,481,false
"355030","01/2022",AMA UBS INTEGRADA JARDIM BRASIL,AMARELA - BRASILIA,4171,false
"355030","01/2022",UBS UNIAO DE VILA NOVA,ALAMANDA V,2799,false
"355030","01/2022",AMA UBS PQ FIGUEIRA GRANDE,FIGUEIRA GRANDE 4,3700,false
"355030","01/2022",UBS JARDIM ORION GUANHEMBU,ORION II,3873,false
"355030","01/2022",AMA UBS INTEGRADA VILA PIAUI,EQUIPE 2 - EQUIPE AZUL,2953,false
"355030","01/2022",UBS VILA MAGGI,MAGGI - VERMELHA - 3124,2557,false
"355030","01/2022",UBS ANCHIETA,ANCHIETA II,4144,false
"355030","01/2022",UBS V ALBERTINA DR OSVALDO MARCAL,"06 CEU UBS ALBERTINA",3033,false
"355030","01/2022",UBS V ALBERTINA DR OSVALDO MARCAL,"05 ESTRELA UBS ALBERTINA",2301,false
"355030","01/2022",UBS V JAGUARA,EQUIPE 1 - 74,2702,false
"355030","01/2022",UBS V JAGUARA,EQUIPE 3,4103,false
"355030","01/2022",UBS VILA GUACURI CICERO SERGIO CAVALCANTE,GUACURI 1,1223,false
"355030","01/2022",UBS VILA DIONISIA,"384-EQ 06-LARANJA",2650,false
"355030","01/2022",UBS J N SRA DO CARMO,EQUIPE 05,2345,false
"355030","01/2022",UBS VILA ESPERANCA DR CASSIO BITENCOURT FILHO,EQUIPE 01,4364,false
"355030","01/2022",UBS SILMARYA REJANE MARCOLINO SOUZA,"002 - EQUIPE 02",3583,false
"355030","01/2022",AMA UBS PQ STO ANTONIO,PQ STO ANTONIO 9,3732,false
"355030","01/2022",UBS PQ STA RITA,JASMIM IV,3399,false
"355030","01/2022",UBS IACAPE JD PLANALTO,"4175 - EQUIPE 5 PRETA",3619,false
"355030","01/2022",UBS PARAISOPOLIS,PARAISOPOLIS - AMARELO,4356,false
"355030","01/2022",UBS NOSSA S DO BRASIL ARMANDO DARIENZO,ESF N SRA BRASIL 01 AMARELO A,3936,false
"355030","01/2022",UBS JARDIM SAO BENTO,SAO BENTO - LARANJA,3205,false
"355030","01/2022",UBS JD NITEROI,NITEROI 2,1413,false
"355030","01/2022",UBS JARDIM MITSUTANI,MITSUTANI - VERDE,3023,false
"355030","01/2022",UBS JARDIM LIDIA,LIDIA - LARANJA,5422,false
